home_elo_probability;h-v_point_diff;h-v_percent_win;diff_plus-minus;diff_bpm;win
0.176524267459732;-10;0;12.8;-2.9;0
0.297171525137152;-11;0;-2;2.48;0
0.304911991758118;-14;-1;-18.4;-3.3;1
0.621682304519891;-6;0;-7.4;-0.7;1
0.756170688442194;25;1;11.6;1.74;1
0.638962108429763;1;0;-7.8;-5.52;0
0.273322243587513;-3;0;-9.4;-1.5;0
0.770437628564548;-15;-1;5.6;2.58;1
0.113549764825104;24;0;9.4;-1.9;0
0.284645296760868;-21;-1;-5.4;0.42;0
0.430131476154959;9;0.5;5.7;3.05;0
0.890829536841239;35;1;22.6;5.29;1
0.331170683988167;-33;-1;-16;-4.82;1
0.760626717712746;25;1;3.5;3.85;1
0.66135195632124;-13;-0.5;-6.9;2.21;1
0.5140216716347;6;0.5;3;2.2;1
0.523373904833132;4.5;0.5;0.8;1.59;0
0.420594067479367;9.5;0.5;11.2;-0.57;1
0.542136482503343;9;0.5;-13.4;-0.51;1
0.411583443765664;8.5;0;5.2;4.03;1
0.338143560262709;-15.6666666666667;-0.5;1.3;-4.87666666666667;0
0.05135482298041;-0.5;-0.5;2.4;-3.3;0
0.709092490076221;5;0.5;8.7;2.21;1
0.738997860644437;9.5;0.5;11.7;2.42;1
0.36924206631132;13.5;0.5;6;2.5;1
0.625497943812407;18.8333333333333;0.333333333333333;1.83333333333333;-1.4;1
0.306824908150756;-10.8333333333333;-0.666666666666667;-10.5;-4.93333333333333;0
0.490911807295041;6;0;3.7;0.83;1
0.856703634848649;19.8333333333333;1;5.56666666666667;1.19;1
0.658369690802447;11.6666666666667;0.333333333333333;8.13333333333333;1.65333333333333;1
0.657967499629964;0.333333333333333;0;7.8;0.413333333333333;1
0.484730674361986;-4.33333333333333;0;4.5;-2.08666666666667;0
0.597314686259388;18.6666666666667;0.166666666666667;6.76666666666667;3.08666666666667;1
0.70561514412297;-1.08333333333333;-0.166666666666667;0.233333333333334;-2.03;1
0.427664062434027;-5.5;-0.666666666666667;-2.1;4.21333333333333;1
0.464388828895641;-2.66666666666667;-0.333333333333333;0.7;2.28;0
0.634103803940746;20.75;0.666666666666667;2.9;-1.105;0
0.166299670869623;6;0;-0.2;-2.58666666666667;0
0.716399662195347;17;0.666666666666667;5.73333333333333;5.52666666666667;1
0.510093521325031;-18;-0.666666666666667;-11.2666666666667;-2.07666666666667;0
0.691944224005211;25.5833333333333;0.75;12.5833333333333;2.56666666666667;0
0.368348713611865;-16;-0.5;-9.7;-2.955;1
0.230490788987391;-10.4166666666667;-0.166666666666667;-3.35;-1.96166666666667;0
0.53327551923048;-16;-0.333333333333333;-10.3333333333333;-2.28666666666667;1
0.533834296952382;1.5;0.5;-1.1;-1.045;1
0.759364181319675;6;0.5;4.71666666666667;4.495;1
0.21192348427552;-6.5;-0.5;-2.51666666666667;-1.11833333333333;1
0.64045230253925;4.33333333333333;0;2.93333333333333;1.14666666666667;0
0.430401190509542;-8.7;-0.15;-7.01;-0.868;1
0.71501206310314;8.5;0.25;5.35;1.79;1
0.511658113308313;-2.5;0;-3.73333333333333;-1.57;1
0.37883801268171;9.66666666666667;0;9.33333333333333;5.28;0
