5;3;2;120.0;7.8;0.6;5;4;1;114.6;9.4;0.8;1
4;1;3;119.25;0.25;0.25;4;3;1;114.75;2.0;0.75;0
5;1;4;113.6;-12.8;0.2;5;2;3;108.0;-9.6;0.4;0
5;3;2;111.0;0.8;0.6;4;4;0;111.5;11.0;1.0;0
5;2;3;104.6;-1.0;0.4;6;2;4;106.66666666666667;-4.0;0.3333333333333333;1
5;4;1;115.6;8.2;0.8;5;3;2;125.6;-1.0;0.6;1
6;1;5;100.83333333333333;-7.166666666666667;0.16666666666666666;6;1;5;99.16666666666667;-14.0;0.16666666666666666;0
5;4;1;116.2;5.0;0.8;5;4;1;111.2;11.2;0.8;0
5;2;3;103.8;-3.2;0.4;5;3;2;113.8;1.4;0.6;0
6;4;2;114.16666666666667;4.666666666666667;0.6666666666666666;6;4;2;101.0;7.0;0.6666666666666666;1
5;1;4;117.2;-4.2;0.2;7;3;4;108.28571428571429;-3.7142857142857144;0.42857142857142855;1
6;2;4;118.66666666666667;-0.8333333333333334;0.3333333333333333;6;1;5;118.33333333333333;-4.166666666666667;0.16666666666666666;1
5;1;4;106.6;-12.8;0.2;6;3;3;121.33333333333333;-5.666666666666667;0.5;0
5;4;1;118.0;6.0;0.8;6;4;2;119.16666666666667;8.166666666666666;0.6666666666666666;0
6;4;2;115.16666666666667;9.166666666666666;0.6666666666666666;5;5;0;115.0;9.0;1.0;1
6;1;5;109.16666666666667;-11.666666666666666;0.16666666666666666;6;3;3;113.83333333333333;0.5;0.5;1
6;3;3;105.5;-7.0;0.5;6;3;3;105.16666666666667;1.3333333333333333;0.5;1
6;2;4;105.0;-6.0;0.3333333333333333;5;4;1;108.6;5.6;0.8;0
5;2;3;103.4;-1.0;0.4;6;4;2;112.83333333333333;3.0;0.6666666666666666;1
7;2;5;105.0;-5.285714285714286;0.2857142857142857;6;5;1;109.83333333333333;10.5;0.8333333333333334;0
6;2;4;104.33333333333333;2.5;0.3333333333333333;6;2;4;93.5;-4.666666666666667;0.3333333333333333;1
6;4;2;103.5;0.3333333333333333;0.6666666666666666;6;5;1;117.83333333333333;11.666666666666666;0.8333333333333334;1
8;3;5;107.125;-5.25;0.375;7;1;6;99.57142857142857;-9.142857142857142;0.14285714285714285;1
7;3;4;107.28571428571429;0.8571428571428571;0.42857142857142855;6;2;4;116.83333333333333;-0.8333333333333334;0.3333333333333333;1
6;3;3;104.16666666666667;0.5;0.5;8;2;6;105.875;-5.375;0.25;0
7;4;3;119.28571428571429;-3.857142857142857;0.5714285714285714;7;2;5;111.71428571428571;-8.714285714285714;0.2857142857142857;1
6;4;2;113.0;6.166666666666667;0.6666666666666666;7;2;5;101.14285714285714;-9.0;0.2857142857142857;1
6;1;5;105.5;-11.833333333333334;0.16666666666666666;6;4;2;116.0;0.3333333333333333;0.6666666666666666;1
6;4;2;116.66666666666667;4.5;0.6666666666666666;7;2;5;93.57142857142857;-5.142857142857143;0.2857142857142857;1
7;4;3;100.0;4.428571428571429;0.5714285714285714;6;5;1;114.0;6.666666666666667;0.8333333333333334;1
7;5;2;112.85714285714286;5.571428571428571;0.7142857142857143;7;5;2;121.28571428571429;11.0;0.7142857142857143;0
7;4;3;107.85714285714286;-5.714285714285714;0.5714285714285714;6;5;1;110.33333333333333;5.666666666666667;0.8333333333333334;0
7;4;3;111.0;1.4285714285714286;0.5714285714285714;7;3;4;104.0;3.2857142857142856;0.42857142857142855;1
7;5;2;115.0;8.571428571428571;0.7142857142857143;7;5;2;113.71428571428571;7.142857142857143;0.7142857142857143;0
8;5;3;114.25;4.25;0.625;7;3;4;114.42857142857143;-0.8571428571428571;0.42857142857142855;1
8;4;4;109.0;2.625;0.5;9;4;5;108.77777777777777;-2.4444444444444446;0.4444444444444444;1
8;2;6;95.125;-4.625;0.25;7;2;5;110.0;-7.857142857142857;0.2857142857142857;1
7;2;5;115.28571428571429;-2.857142857142857;0.2857142857142857;7;2;5;106.14285714285714;-6.0;0.2857142857142857;0
7;3;4;102.57142857142857;-2.4285714285714284;0.42857142857142855;8;2;6;103.5;-8.375;0.25;0
7;4;3;116.71428571428571;-2.0;0.5714285714285714;8;2;6;111.75;-9.75;0.25;1
7;1;6;119.28571428571429;-5.0;0.14285714285714285;7;5;2;114.57142857142857;5.857142857142857;0.7142857142857143;0
7;5;2;115.28571428571429;4.0;0.7142857142857143;8;1;7;99.875;-10.5;0.125;0
7;5;2;104.28571428571429;3.142857142857143;0.7142857142857143;7;5;2;112.57142857142857;5.428571428571429;0.7142857142857143;1
8;5;3;100.75;4.125;0.625;8;6;2;122.25;10.25;0.75;1
8;3;5;112.75;-1.5;0.375;7;3;4;121.0;0.7142857142857143;0.42857142857142855;0
7;6;1;111.0;9.857142857142858;0.8571428571428571;8;6;2;115.0;8.25;0.75;1
8;5;3;112.25;2.375;0.625;7;6;1;110.0;7.857142857142857;0.8571428571428571;0
8;4;4;105.25;-7.625;0.5;8;1;7;117.375;-6.625;0.125;0
9;3;6;106.66666666666667;-2.5555555555555554;0.3333333333333333;8;5;3;120.5;-1.25;0.625;0
8;2;6;107.0;-10.875;0.25;8;5;3;113.625;3.0;0.625;0
8;3;5;105.0;1.75;0.375;9;2;7;112.55555555555556;-9.333333333333334;0.2222222222222222;1
8;5;3;117.75;-1.0;0.625;8;6;2;103.75;3.125;0.75;0
9;3;6;97.66666666666667;-0.5555555555555556;0.3333333333333333;9;5;4;109.33333333333333;3.0;0.5555555555555556;0
8;5;3;110.625;4.375;0.625;9;4;5;105.77777777777777;-7.333333333333333;0.4444444444444444;1
9;4;5;106.0;2.2222222222222223;0.4444444444444444;9;6;3;119.77777777777777;8.777777777777779;0.6666666666666666;0
9;2;7;100.55555555555556;-8.88888888888889;0.2222222222222222;8;3;5;107.0;-3.625;0.375;0
8;5;3;114.125;5.5;0.625;8;4;4;120.75;1.125;0.5;1
9;3;6;113.0;-1.7777777777777777;0.3333333333333333;8;3;5;103.375;-3.625;0.375;1
8;7;1;109.0;10.5;0.875;8;6;2;115.5;7.375;0.75;0
10;4;6;108.5;-2.8;0.4;9;5;4;115.55555555555556;-1.1111111111111112;0.5555555555555556;0
8;7;1;113.125;9.375;0.875;9;6;3;116.33333333333333;4.444444444444445;0.6666666666666666;1
9;5;4;112.55555555555556;-0.1111111111111111;0.5555555555555556;9;2;7;108.66666666666667;-11.444444444444445;0.2222222222222222;0
9;2;7;117.11111111111111;-5.333333333333333;0.2222222222222222;9;6;3;120.11111111111111;1.4444444444444444;0.6666666666666666;0
10;2;8;112.1;-9.0;0.2;9;6;3;101.0;4.0;0.6666666666666666;0
9;6;3;113.44444444444444;4.444444444444445;0.6666666666666666;9;7;2;115.22222222222223;7.555555555555555;0.7777777777777778;1
10;6;4;109.3;3.4;0.6;10;4;6;107.3;1.8;0.4;1
9;6;3;111.0;4.777777777777778;0.6666666666666666;9;4;5;107.11111111111111;-0.8888888888888888;0.4444444444444444;1
9;6;3;111.11111111111111;5.666666666666667;0.6666666666666666;11;4;7;109.0;-3.090909090909091;0.36363636363636365;1
10;3;7;105.4;-4.6;0.3;10;2;8;99.2;-10.1;0.2;1
9;7;2;103.33333333333333;3.0;0.7777777777777778;9;3;6;104.44444444444444;-4.444444444444445;0.3333333333333333;0
9;6;3;116.77777777777777;7.777777777777778;0.6666666666666666;9;7;2;108.44444444444444;8.333333333333334;0.7777777777777778;0
10;7;3;103.1;5.0;0.7;9;4;5;119.77777777777777;-1.8888888888888888;0.4444444444444444;1
9;3;6;105.44444444444444;-6.111111111111111;0.3333333333333333;10;4;6;114.1;-0.5;0.4;1
10;4;6;105.8;-7.4;0.4;10;3;7;109.1;-9.9;0.3;0
10;3;7;98.1;-1.2;0.3;10;7;3;109.7;4.4;0.7;1
9;8;1;113.44444444444444;9.444444444444445;0.8888888888888888;8;2;6;113.375;-4.125;0.25;1
10;7;3;120.3;1.9;0.7;10;7;3;111.9;5.0;0.7;1
10;6;4;116.0;-0.4;0.6;10;5;5;112.2;-0.5;0.5;1
10;8;2;109.9;8.3;0.8;11;2;9;111.72727272727273;-9.454545454545455;0.18181818181818182;1
11;4;7;112.72727272727273;-1.1818181818181819;0.36363636363636365;10;7;3;112.5;5.8;0.7;0
10;4;6;106.1;-0.9;0.4;10;7;3;111.7;6.0;0.7;0
10;7;3;119.9;8.1;0.7;11;4;7;106.72727272727273;-2.5454545454545454;0.36363636363636365;1
10;2;8;117.0;-5.4;0.2;11;7;4;110.18181818181819;3.727272727272727;0.6363636363636364;1
11;2;9;99.45454545454545;-10.818181818181818;0.18181818181818182;10;6;4;115.3;3.0;0.6;1
10;6;4;116.6;6.2;0.6;10;4;6;106.5;-3.6;0.4;1
